field_1,user_id,name,screen_nam,tweet_id,text,coordinate,timestamp_,date_time,long,lat,BoroCD,Shape_Leng,Shape_Area
1,386344150,JayD,jusdoingit06,924010400940789760,"I'm at @Equinox West 92nd Street in New York, NY https://t.co/Zv697nPofV","40.79196,-73.974096",1509136221524,2017-10-27 16:30:21-04:00,40.79196,-73.97410,107,39863.65387,53153440.31120
2,71720955,TMJ-NYC CstSrv Jobs,tmj_nyc_cstsrv,924011223854624768,"Can you recommend anyone for this #job? shift supervisor - Store# 07441, PARK SLOPE - https://t.co/zyZvgm8iWG #CustomerService #NewYork, NY","40.6781784,-73.9441579",1509136417722,2017-10-27 16:33:37-04:00,40.67818,-73.94416,303,36213.69623,79461360.00750
3,23233618,NYC Accounting Jobs,tmj_nyc_acct,924011224139886592,Can you recommend anyone for this #job in NY? https://t.co/VY9mMO8Gkj #Accounting #Hiring #CareerArc,"40.6274394,-74.0946311",1509136417790,2017-10-27 16:33:37-04:00,40.62744,-74.09463,501,157947.49275,376911350.04200
4,23568054,cosimo,MalkzBGreat,924011237310124037,Enjoying my day off...eating n drinkin good...shout out to #Peaches @ Peaches Restaurant https://t.co/3SKrd508Iu,"40.68183,-73.93468",1509136420930,2017-10-27 16:33:40-04:00,40.68183,-73.93468,303,36213.69623,79461360.00750
5,2225298475,JuJu,judyth_f,924011242037145600,Rihanna Inspired Halloween Lookbook   https://t.co/kd0Un1N9C7,"40.7207559,-74.0007613",1509136422057,2017-10-27 16:33:42-04:00,40.72076,-74.00076,102,34910.33502,37723314.25230
6,192643871,Harlems Radio Rema,nycradiorema,924011279391522816,I want to give a special shout out to the OFFICIAL PLUG.. u know it's official if this guy shows… https://t.co/4IhYMrictf,"40.79935587,-73.93232723",1509136430963,2017-10-27 16:33:50-04:00,40.79936,-73.93233,111,59502.91147,66145984.61130
7,36339662,JAMAL-ALIM,ALIMWORLD,924011280050028544,"#Alimworld @ New York, New York https://t.co/nU4xpH54mD","40.7142,-74.0064",1509136431120,2017-10-27 16:33:51-04:00,40.71420,-74.00640,101,73178.67348,42555349.76560
10,198201067,frankie cocktail,frankiecocktail,924011337981874176,Just posted a photo @ Christopher Street–Sheridan Square https://t.co/7a84q6AaVa,"40.733333,-74.002778",1509136444932,2017-10-27 16:34:04-04:00,40.73333,-74.00278,102,34910.33502,37723314.25230
11,47488812,Brent Clayton,bigdaddyb420,924011338510295040,"Light for a dipa, has a tacky lupulin powder bitterness ... (Double Dry Hopped Louder Than A Bomb) https://t.co/tuxK4N46Zi","40.7614,-73.9637",1509136445058,2017-10-27 16:34:05-04:00,40.76140,-73.96370,108,53561.20587,55168905.39990
13,277129589,Des McKeown,P3Des,924011399910756352,On the ice at The Rockefeller Centre with Taylor.. #usa #newyorkcity #manhattan… https://t.co/1Er4SnWwU5,"40.75873044,-73.97910186",1509136459697,2017-10-27 16:34:19-04:00,40.75873,-73.97910,105,35291.45846,43790805.32250
14,415813580,Women Management NY,womenmgmt,924011411029753856,"#STARPOWER 🌟
17 year old Actress 🎭 Activist 👊🏼 and Scholar 📚 covering @seventeen’s Nov/Dec ‘17… https://t.co/TT3gXyhx4i","40.7211647,-73.9979019",1509136462348,2017-10-27 16:34:22-04:00,40.72116,-73.99790,102,34910.33502,37723314.25230
15,545364493,Dr Neva,Dr_Neva,924011431938461696,#womenempowerment #entrepreneur #women #leadership #leader #jpmorgan @ New York City - Manhattan… https://t.co/Zsl7H4AT2n,"40.75301143,-73.97686958",1509136467333,2017-10-27 16:34:27-04:00,40.75301,-73.97687,105,35291.45846,43790805.32250
18,16352749,uiratan,uiratan,924011465325113344,acordei cedo .. manha fria .. otima pra uma caminhada .. foto 1 e 2 .. invejosos dirao q a foto… https://t.co/lzLTh9UtaL,"40.72525507,-73.99225658",1509136475293,2017-10-27 16:34:35-04:00,40.72526,-73.99226,102,34910.33502,37723314.25230
19,498042814,Newark Banking,tmj_nwk_banking,924011471180152832,"This #job might be a great fit for you: Universal Operations Specialist, Amboy Road, Staten Island, NY - https://t.co/xNqdVud8AE #Banking","40.5795317,-74.1502007",1509136476689,2017-10-27 16:34:36-04:00,40.57953,-74.15020,502,142671.72395,593202529.14600
22,541785005,Kiyo Cato,KiyoCato,924011475462586369,Back at it @ Mission Sound https://t.co/RhnxCqdVIW,"40.71167,-73.9506",1509136477710,2017-10-27 16:34:37-04:00,40.71167,-73.95060,301,69142.27325,131756437.44400
23,2740430854,m,decksteck,924011498510446593,and this is what we call the Muppet Showww || 📷: taylorbuenaga @ Museum of the Moving Image https://t.co/4BcYYIgPuy,"40.75638,-73.92385",1509136483205,2017-10-27 16:34:43-04:00,40.75638,-73.92385,401,90037.84523,171549338.61900
25,117336369,ILL CAMINO,ILLCAMINORADIO,924011501316399105,"#Repost onthisdateinhiphop
・・・
#OnThisDateInHipHop, #Nas and #JAYZ buried the hatchet at the… https://t.co/aR3MSLKADs","40.639722,-73.778889",1509136483874,2017-10-27 16:34:43-04:00,40.63972,-73.77889,483,107281.57670,191669437.75900
27,282339743,Tanner Thomas,TannerThomasX,924011511009472512,"Okay LAST POST, THANK YOU SOOOO MUCH theheatherlynnshow and @dkms_us and our whole #FIERCE… https://t.co/moGx4NYnDX","40.7142,-74.0064",1509136486185,2017-10-27 16:34:46-04:00,40.71420,-74.00640,101,73178.67348,42555349.76560
28,20832085,NYC Healthcare Jobs,tmj_nyc_health,924011514696101888,"Join the Healthfirst team! See our latest #job opening here: https://t.co/Hd1F3tPs15 #Healthcare #NewYork, NY #Hiring #CareerArc","40.7127837,-74.0059413",1509136487064,2017-10-27 16:34:47-04:00,40.71278,-74.00594,101,73178.67348,42555349.76560
29,3128825472,Ricardo L Cruz,RkrdoLCN,924011515107213312,"Life is not easy. Wich color? 😂🤣😂🤣 @ New York, New York https://t.co/a3bNnuWBkD","40.7142,-74.0064",1509136487162,2017-10-27 16:34:47-04:00,40.71420,-74.00640,101,73178.67348,42555349.76560
30,2909978167,DiMPlE 西村 誠 ディンプル,MakotoNishimur1,924011519859335168,"🌟4日目のニューヨーク🌟🗽 
🌟#感性を磨く修行たび 2017.10.27
#joe #カフェ #cafe 
#ニューヨーク… Joehttps://www.instagram.com/p/Baw9YyMjwTK/","40.7332899,-74.00057",1509136488295,2017-10-27 16:34:48-04:00,40.73329,-74.00057,102,34910.33502,37723314.25230
31,24220809,NYC Management Jobs,tmj_nyc_mgmt,924011521767743488,"Want to work in #NewYork, NY? View our latest opening: https://t.co/vRhWXUB7Qs #BusinessMgmt #Job #Jobs #Hiring #CareerArc","40.7127837,-74.0059413",1509136488750,2017-10-27 16:34:48-04:00,40.71278,-74.00594,101,73178.67348,42555349.76560
32,971831,TYLER MCKENZIE,tylermckenzie,924011534346461184,working on something new. 🎼 come see the show - link in bio | 🎹 by thisisjaspergrant | 🎵 by… https://t.co/PIBPw5mLK6,"40.7536087,-73.9919128",1509136491749,2017-10-27 16:34:51-04:00,40.75361,-73.99191,105,35291.45846,43790805.32250
33,36339662,JAMAL-ALIM,ALIMWORLD,924011568798601216,"#happyhalloweenweekend #boo2 #Alimworld #ghost @ New York, New York https://t.co/HH2WjMu9lg","40.7142,-74.0064",1509136499963,2017-10-27 16:34:59-04:00,40.71420,-74.00640,101,73178.67348,42555349.76560
